2026-05-19 07:32:07 [DEBUG] src.arena_client: Running: studio-arena tasks...
2026-05-19 07:32:41 [DEBUG] src.arena_client: Running: studio-arena my-answer d2e6cdd6-e8a3-4a60-813a-0fd55b3da4c3...
2026-05-19 07:32:43 [DEBUG] src.arena_client: Running: studio-arena my-answer 4821ce37-4cac-4654-98ad-f97762ae0965...
2026-05-19 07:32:44 [DEBUG] src.arena_client: Running: studio-arena my-answer bbe0d325-48ae-4c4f-b0e5-78bfee9ca058...
2026-05-19 07:32:46 [DEBUG] src.arena_client: Running: studio-arena my-answer f4369450-e4d5-4c80-85ff-188b1b0f49a5...
2026-05-19 07:32:46 [DEBUG] src.arena_client: Running: studio-arena my-answer d822843b-44ff-461d-a58c-ec8eda16558f...
2026-05-19 07:32:49 [DEBUG] src.arena_client: Running: studio-arena my-answer 305ed85e-3e38-4ebe-bfd3-a7267b4896d9...
2026-05-19 07:32:51 [DEBUG] src.arena_client: Running: studio-arena my-answer 936b06fc-0c28-4b49-bfb5-2a634d33c566...
2026-05-19 07:32:52 [DEBUG] src.arena_client: Running: studio-arena my-answer 2b8b6fa2-3ac9-43e6-a506-a14f61b94a42...
2026-05-19 07:32:53 [DEBUG] src.arena_client: Running: studio-arena my-answer 7f60eb2c-2545-45b1-bd39-c9b25a3e0982...
2026-05-19 07:32:54 [DEBUG] src.arena_client: Running: studio-arena my-answer f36d7fa8-0331-4968-8cae-88779889d68f...
2026-05-19 07:32:55 [DEBUG] src.arena_client: Running: studio-arena my-answer 0e386a67-35c0-4e93-a9f3-1f5522fd1608...
2026-05-19 07:32:56 [DEBUG] src.arena_client: Running: studio-arena my-answer 2b4dcd3b-02c2-4863-bb38-b31a8c0dc6b0...
2026-05-19 07:32:57 [DEBUG] src.arena_client: Running: studio-arena my-answer 81f7eeb9-ba5d-4c2d-aee2-b81439b4e826...
2026-05-19 07:32:58 [DEBUG] src.arena_client: Running: studio-arena my-answer d8ac0ef6-a395-48d8-9975-59e0eb256a8c...
2026-05-19 07:32:59 [DEBUG] src.arena_client: Running: studio-arena my-answer a352cb0d-ba90-440c-bf14-1bf234b45e6a...
2026-05-19 07:33:00 [DEBUG] src.arena_client: Running: studio-arena my-answer 7dff68f2-7291-4556-bc53-f47697168a23...
2026-05-19 07:33:01 [DEBUG] src.arena_client: Running: studio-arena my-answer 16623da3-b1da-4a76-8424-2483c8a4ec46...
2026-05-19 07:33:02 [DEBUG] src.arena_client: Running: studio-arena my-answer 960684d8-6658-4c57-a320-10cb9d62976f...
2026-05-19 07:33:03 [DEBUG] src.arena_client: Running: studio-arena my-answer 8f39164c-537a-43e9-b0c2-164952018cde...
2026-05-19 07:33:05 [DEBUG] src.arena_client: Running: studio-arena my-answer 590f3f62-53a6-41eb-8853-264aea476bd7...
2026-05-19 07:33:05 [DEBUG] src.arena_client: Running: studio-arena my-answer a4352428-c3e8-4c70-9008-af7fe1c47edc...
2026-05-19 07:33:06 [DEBUG] src.arena_client: Running: studio-arena my-answer 2eec1184-a391-4638-b6bc-345b69d1e30f...
2026-05-19 07:33:07 [DEBUG] src.arena_client: Running: studio-arena my-answer ad6989a1-ee84-4a57-926a-58a7e25f3871...
2026-05-19 07:33:07 [DEBUG] src.arena_client: Running: studio-arena my-answer 6b379ab4-14ab-4f4e-b8e7-2840d4810177...
2026-05-19 07:33:08 [DEBUG] src.arena_client: Running: studio-arena my-answer 73b4f33a-0e10-48a0-a141-273d1d937cef...
2026-05-19 07:33:09 [DEBUG] src.arena_client: Running: studio-arena my-answer efbb6f50-3c7d-41c0-9183-66b5e33be984...
2026-05-19 07:33:09 [DEBUG] src.arena_client: Running: studio-arena my-answer 01ec4bed-3c1f-4e21-aa17-29d20ded8ef6...
2026-05-19 07:33:10 [DEBUG] src.arena_client: Running: studio-arena my-answer f2b798ac-1a6c-419d-8cd4-9541f247ee4f...
2026-05-19 07:33:11 [DEBUG] src.arena_client: Running: studio-arena my-answer f2890898-d0d4-405f-a28d-cd4cafa24eaa...
2026-05-19 07:33:11 [DEBUG] src.arena_client: Running: studio-arena my-answer a1c59f37-fe51-414d-a445-9c7dd3c6d584...
2026-05-19 07:33:12 [DEBUG] src.arena_client: Running: studio-arena my-answer 5f4dad12-7977-455f-beda-e26f4433c7f6...
2026-05-19 07:33:13 [DEBUG] src.arena_client: Running: studio-arena my-answer dd181bb5-72a7-41dd-9b8a-3b817da20650...
2026-05-19 07:33:13 [DEBUG] src.arena_client: Running: studio-arena my-answer 2af49f33-1d32-44d0-8726-8f86291c0d28...
2026-05-19 07:33:14 [DEBUG] src.arena_client: Running: studio-arena my-answer b0c9a8a3-7989-48ab-a34c-f52ccc632c5d...
2026-05-19 07:33:15 [DEBUG] src.arena_client: Running: studio-arena my-answer 4a68f177-8b45-4789-abf1-3e96ca907405...
2026-05-19 07:33:15 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a753005-2a24-4a38-80a7-809e7ef59cf1...
2026-05-19 07:33:16 [DEBUG] src.arena_client: Running: studio-arena my-answer 693271e9-e0ed-498b-9363-84095d0c0349...
2026-05-19 07:33:17 [DEBUG] src.arena_client: Running: studio-arena my-answer 7dd9cd1a-d1f3-4fe3-8448-aecef0b303a7...
2026-05-19 07:33:18 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a621ee4-0f87-4254-91cd-0fc8c3ef2ed3...
2026-05-19 07:33:18 [DEBUG] src.arena_client: Running: studio-arena my-answer 12befcdc-5a96-4bb1-97e7-941bd60bc084...
2026-05-19 07:33:19 [DEBUG] src.arena_client: Running: studio-arena my-answer 83732a94-dfcc-4287-b7c1-e6c98180f686...
2026-05-19 07:33:20 [DEBUG] src.arena_client: Running: studio-arena my-answer c15b8886-6e57-415b-97e7-f9c637fa67ed...
2026-05-19 07:33:22 [DEBUG] src.arena_client: Running: studio-arena my-answer 585e8ff0-3552-481b-ab36-695b60d2e1e4...
2026-05-19 07:33:24 [DEBUG] src.arena_client: Running: studio-arena my-answer 22356dcb-03a5-44c1-9fb3-ae883d1908e0...
2026-05-19 07:33:25 [DEBUG] src.arena_client: Running: studio-arena my-answer 63a84df1-a9ae-43e3-8dbe-026d00476ebe...
2026-05-19 07:33:25 [DEBUG] src.arena_client: Running: studio-arena my-answer e81eb073-49c8-497d-9eb1-03d0319ea974...
2026-05-19 07:33:26 [DEBUG] src.arena_client: Running: studio-arena my-answer 055eec60-62f9-4001-98d4-6cb322b003da...
2026-05-19 07:33:27 [DEBUG] src.arena_client: Running: studio-arena my-answer 0611d01b-79ca-4454-89a6-3d3082c04d13...
2026-05-19 07:33:27 [DEBUG] src.arena_client: Running: studio-arena my-answer f2fe4c08-535d-4a80-8333-7bc6bda6d062...
2026-05-19 07:33:28 [DEBUG] src.arena_client: Running: studio-arena my-answer 4f440cf2-987f-4640-b12d-a1f1d9e63364...
2026-05-19 07:33:29 [DEBUG] src.arena_client: Running: studio-arena my-answer d2e6cdd6-e8a3-4a60-813a-0fd55b3da4c3...
2026-05-19 07:33:29 [DEBUG] src.arena_client: Running: studio-arena my-answer 4821ce37-4cac-4654-98ad-f97762ae0965...
2026-05-19 07:33:30 [DEBUG] src.arena_client: Running: studio-arena my-answer bbe0d325-48ae-4c4f-b0e5-78bfee9ca058...
2026-05-19 07:33:31 [DEBUG] src.arena_client: Running: studio-arena my-answer f4369450-e4d5-4c80-85ff-188b1b0f49a5...
2026-05-19 07:33:31 [DEBUG] src.arena_client: Running: studio-arena my-answer 7f60eb2c-2545-45b1-bd39-c9b25a3e0982...
2026-05-19 07:33:32 [DEBUG] src.arena_client: Running: studio-arena task show d822843b-44ff-461d-a58c-ec8eda16558f...
2026-05-19 07:33:32 [DEBUG] src.arena_client: Running: studio-arena task show 305ed85e-3e38-4ebe-bfd3-a7267b4896d9...
2026-05-19 07:33:34 [ERROR] src.task_worker: [Task d822843b] Resume failed: KeyError: '\n  "decomposition_mode"'
2026-05-19 07:33:34 [WARNING] task.d822843b: [Exception] KeyError: '\n  "decomposition_mode"' action=abort
2026-05-19 07:33:34 [INFO] task.d822843b: [Done] status=failed total_tokens=0 score=None
2026-05-19 07:33:35 [ERROR] src.task_worker: [Task 305ed85e] Resume failed: KeyError: '\n  "decomposition_mode"'
2026-05-19 07:33:35 [WARNING] task.305ed85e: [Exception] KeyError: '\n  "decomposition_mode"' action=abort
2026-05-19 07:33:35 [INFO] task.305ed85e: [Done] status=failed total_tokens=0 score=None
2026-05-19 07:35:02 [DEBUG] src.arena_client: Running: studio-arena tasks...
2026-05-19 07:35:03 [DEBUG] src.arena_client: Running: studio-arena my-answer 590f3f62-53a6-41eb-8853-264aea476bd7...
2026-05-19 07:35:04 [DEBUG] src.arena_client: Running: studio-arena my-answer a4352428-c3e8-4c70-9008-af7fe1c47edc...
2026-05-19 07:35:05 [DEBUG] src.arena_client: Running: studio-arena my-answer 2eec1184-a391-4638-b6bc-345b69d1e30f...
2026-05-19 07:35:05 [DEBUG] src.arena_client: Running: studio-arena my-answer ad6989a1-ee84-4a57-926a-58a7e25f3871...
2026-05-19 07:35:06 [DEBUG] src.arena_client: Running: studio-arena my-answer 6b379ab4-14ab-4f4e-b8e7-2840d4810177...
2026-05-19 07:35:07 [DEBUG] src.arena_client: Running: studio-arena my-answer 73b4f33a-0e10-48a0-a141-273d1d937cef...
2026-05-19 07:35:07 [DEBUG] src.arena_client: Running: studio-arena my-answer efbb6f50-3c7d-41c0-9183-66b5e33be984...
2026-05-19 07:35:08 [DEBUG] src.arena_client: Running: studio-arena my-answer 01ec4bed-3c1f-4e21-aa17-29d20ded8ef6...
2026-05-19 07:35:09 [DEBUG] src.arena_client: Running: studio-arena my-answer f2b798ac-1a6c-419d-8cd4-9541f247ee4f...
2026-05-19 07:35:09 [DEBUG] src.arena_client: Running: studio-arena my-answer f2890898-d0d4-405f-a28d-cd4cafa24eaa...
2026-05-19 07:35:10 [DEBUG] src.arena_client: Running: studio-arena my-answer a1c59f37-fe51-414d-a445-9c7dd3c6d584...
2026-05-19 07:35:11 [DEBUG] src.arena_client: Running: studio-arena my-answer 5f4dad12-7977-455f-beda-e26f4433c7f6...
2026-05-19 07:35:11 [DEBUG] src.arena_client: Running: studio-arena my-answer dd181bb5-72a7-41dd-9b8a-3b817da20650...
2026-05-19 07:35:12 [DEBUG] src.arena_client: Running: studio-arena my-answer 2af49f33-1d32-44d0-8726-8f86291c0d28...
2026-05-19 07:35:13 [DEBUG] src.arena_client: Running: studio-arena my-answer b0c9a8a3-7989-48ab-a34c-f52ccc632c5d...
2026-05-19 07:35:13 [DEBUG] src.arena_client: Running: studio-arena my-answer 4a68f177-8b45-4789-abf1-3e96ca907405...
2026-05-19 07:35:14 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a753005-2a24-4a38-80a7-809e7ef59cf1...
2026-05-19 07:35:15 [DEBUG] src.arena_client: Running: studio-arena my-answer 693271e9-e0ed-498b-9363-84095d0c0349...
2026-05-19 07:35:16 [DEBUG] src.arena_client: Running: studio-arena my-answer 7dd9cd1a-d1f3-4fe3-8448-aecef0b303a7...
2026-05-19 07:35:17 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a621ee4-0f87-4254-91cd-0fc8c3ef2ed3...
2026-05-19 07:35:18 [DEBUG] src.arena_client: Running: studio-arena my-answer 12befcdc-5a96-4bb1-97e7-941bd60bc084...
2026-05-19 07:35:18 [DEBUG] src.arena_client: Running: studio-arena my-answer 83732a94-dfcc-4287-b7c1-e6c98180f686...
2026-05-19 07:35:19 [DEBUG] src.arena_client: Running: studio-arena my-answer c15b8886-6e57-415b-97e7-f9c637fa67ed...
2026-05-19 07:35:20 [DEBUG] src.arena_client: Running: studio-arena my-answer 585e8ff0-3552-481b-ab36-695b60d2e1e4...
2026-05-19 07:35:20 [DEBUG] src.arena_client: Running: studio-arena my-answer 22356dcb-03a5-44c1-9fb3-ae883d1908e0...
2026-05-19 07:35:21 [DEBUG] src.arena_client: Running: studio-arena my-answer 63a84df1-a9ae-43e3-8dbe-026d00476ebe...
2026-05-19 07:35:22 [DEBUG] src.arena_client: Running: studio-arena my-answer e81eb073-49c8-497d-9eb1-03d0319ea974...
2026-05-19 07:35:22 [DEBUG] src.arena_client: Running: studio-arena my-answer 055eec60-62f9-4001-98d4-6cb322b003da...
2026-05-19 07:35:23 [DEBUG] src.arena_client: Running: studio-arena my-answer 0611d01b-79ca-4454-89a6-3d3082c04d13...
2026-05-19 07:35:24 [DEBUG] src.arena_client: Running: studio-arena my-answer f2fe4c08-535d-4a80-8333-7bc6bda6d062...
2026-05-19 07:35:25 [DEBUG] src.arena_client: Running: studio-arena my-answer 4f440cf2-987f-4640-b12d-a1f1d9e63364...
2026-05-19 07:35:25 [DEBUG] src.arena_client: Running: studio-arena my-answer d2e6cdd6-e8a3-4a60-813a-0fd55b3da4c3...
2026-05-19 07:35:26 [DEBUG] src.arena_client: Running: studio-arena my-answer 4821ce37-4cac-4654-98ad-f97762ae0965...
2026-05-19 07:35:27 [DEBUG] src.arena_client: Running: studio-arena my-answer bbe0d325-48ae-4c4f-b0e5-78bfee9ca058...
2026-05-19 07:35:27 [DEBUG] src.arena_client: Running: studio-arena my-answer f4369450-e4d5-4c80-85ff-188b1b0f49a5...
2026-05-19 07:35:28 [DEBUG] src.arena_client: Running: studio-arena my-answer d822843b-44ff-461d-a58c-ec8eda16558f...
2026-05-19 07:35:29 [DEBUG] src.arena_client: Running: studio-arena my-answer 305ed85e-3e38-4ebe-bfd3-a7267b4896d9...
2026-05-19 07:35:30 [DEBUG] src.arena_client: Running: studio-arena my-answer 936b06fc-0c28-4b49-bfb5-2a634d33c566...
2026-05-19 07:35:32 [DEBUG] src.arena_client: Running: studio-arena my-answer 2b8b6fa2-3ac9-43e6-a506-a14f61b94a42...
2026-05-19 07:35:34 [DEBUG] src.arena_client: Running: studio-arena my-answer 7f60eb2c-2545-45b1-bd39-c9b25a3e0982...
2026-05-19 07:35:35 [DEBUG] src.arena_client: Running: studio-arena my-answer f36d7fa8-0331-4968-8cae-88779889d68f...
2026-05-19 07:35:36 [DEBUG] src.arena_client: Running: studio-arena my-answer 0e386a67-35c0-4e93-a9f3-1f5522fd1608...
2026-05-19 07:35:44 [DEBUG] src.arena_client: Running: studio-arena my-answer 2b4dcd3b-02c2-4863-bb38-b31a8c0dc6b0...
2026-05-19 07:36:03 [DEBUG] src.arena_client: Running: studio-arena my-answer 81f7eeb9-ba5d-4c2d-aee2-b81439b4e826...
2026-05-19 07:36:20 [DEBUG] src.arena_client: Running: studio-arena my-answer d8ac0ef6-a395-48d8-9975-59e0eb256a8c...
2026-05-19 07:36:21 [DEBUG] src.arena_client: Running: studio-arena my-answer a352cb0d-ba90-440c-bf14-1bf234b45e6a...
2026-05-19 07:36:30 [DEBUG] src.arena_client: Running: studio-arena my-answer 7dff68f2-7291-4556-bc53-f47697168a23...
2026-05-19 07:36:49 [DEBUG] src.arena_client: Running: studio-arena my-answer 16623da3-b1da-4a76-8424-2483c8a4ec46...
2026-05-19 07:37:04 [DEBUG] src.arena_client: Running: studio-arena my-answer 960684d8-6658-4c57-a320-10cb9d62976f...
2026-05-19 07:37:06 [DEBUG] src.arena_client: Running: studio-arena my-answer 8f39164c-537a-43e9-b0c2-164952018cde...
2026-05-19 07:37:07 [DEBUG] src.arena_client: Running: studio-arena my-answer 590f3f62-53a6-41eb-8853-264aea476bd7...
2026-05-19 07:37:07 [DEBUG] src.arena_client: Running: studio-arena my-answer a4352428-c3e8-4c70-9008-af7fe1c47edc...
2026-05-19 07:37:08 [DEBUG] src.arena_client: Running: studio-arena my-answer 2eec1184-a391-4638-b6bc-345b69d1e30f...
2026-05-19 07:37:09 [DEBUG] src.arena_client: Running: studio-arena my-answer ad6989a1-ee84-4a57-926a-58a7e25f3871...
2026-05-19 07:37:09 [DEBUG] src.arena_client: Running: studio-arena my-answer 6b379ab4-14ab-4f4e-b8e7-2840d4810177...
2026-05-19 07:37:10 [DEBUG] src.arena_client: Running: studio-arena my-answer 73b4f33a-0e10-48a0-a141-273d1d937cef...
2026-05-19 07:37:11 [DEBUG] src.arena_client: Running: studio-arena my-answer efbb6f50-3c7d-41c0-9183-66b5e33be984...
2026-05-19 07:37:12 [DEBUG] src.arena_client: Running: studio-arena my-answer 01ec4bed-3c1f-4e21-aa17-29d20ded8ef6...
2026-05-19 07:37:12 [DEBUG] src.arena_client: Running: studio-arena my-answer f2b798ac-1a6c-419d-8cd4-9541f247ee4f...
2026-05-19 07:37:13 [DEBUG] src.arena_client: Running: studio-arena my-answer f2890898-d0d4-405f-a28d-cd4cafa24eaa...
2026-05-19 07:37:14 [DEBUG] src.arena_client: Running: studio-arena my-answer a1c59f37-fe51-414d-a445-9c7dd3c6d584...
2026-05-19 07:37:14 [DEBUG] src.arena_client: Running: studio-arena my-answer 5f4dad12-7977-455f-beda-e26f4433c7f6...
2026-05-19 07:37:15 [DEBUG] src.arena_client: Running: studio-arena my-answer dd181bb5-72a7-41dd-9b8a-3b817da20650...
2026-05-19 07:37:16 [DEBUG] src.arena_client: Running: studio-arena my-answer 2af49f33-1d32-44d0-8726-8f86291c0d28...
2026-05-19 07:37:16 [DEBUG] src.arena_client: Running: studio-arena my-answer b0c9a8a3-7989-48ab-a34c-f52ccc632c5d...
2026-05-19 07:37:17 [DEBUG] src.arena_client: Running: studio-arena my-answer 4a68f177-8b45-4789-abf1-3e96ca907405...
2026-05-19 07:37:18 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a753005-2a24-4a38-80a7-809e7ef59cf1...
2026-05-19 07:37:19 [DEBUG] src.arena_client: Running: studio-arena my-answer 693271e9-e0ed-498b-9363-84095d0c0349...
2026-05-19 07:37:19 [DEBUG] src.arena_client: Running: studio-arena my-answer 7dd9cd1a-d1f3-4fe3-8448-aecef0b303a7...
2026-05-19 07:37:20 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a621ee4-0f87-4254-91cd-0fc8c3ef2ed3...
2026-05-19 07:37:21 [DEBUG] src.arena_client: Running: studio-arena my-answer 12befcdc-5a96-4bb1-97e7-941bd60bc084...
2026-05-19 07:37:21 [DEBUG] src.arena_client: Running: studio-arena my-answer 83732a94-dfcc-4287-b7c1-e6c98180f686...
2026-05-19 07:37:22 [DEBUG] src.arena_client: Running: studio-arena my-answer c15b8886-6e57-415b-97e7-f9c637fa67ed...
2026-05-19 07:37:23 [DEBUG] src.arena_client: Running: studio-arena my-answer 585e8ff0-3552-481b-ab36-695b60d2e1e4...
2026-05-19 07:37:24 [DEBUG] src.arena_client: Running: studio-arena my-answer 22356dcb-03a5-44c1-9fb3-ae883d1908e0...
2026-05-19 07:37:24 [DEBUG] src.arena_client: Running: studio-arena my-answer 63a84df1-a9ae-43e3-8dbe-026d00476ebe...
2026-05-19 07:37:25 [DEBUG] src.arena_client: Running: studio-arena my-answer e81eb073-49c8-497d-9eb1-03d0319ea974...
2026-05-19 07:37:26 [DEBUG] src.arena_client: Running: studio-arena my-answer 055eec60-62f9-4001-98d4-6cb322b003da...
2026-05-19 07:37:26 [DEBUG] src.arena_client: Running: studio-arena my-answer 0611d01b-79ca-4454-89a6-3d3082c04d13...
2026-05-19 07:37:27 [DEBUG] src.arena_client: Running: studio-arena my-answer f2fe4c08-535d-4a80-8333-7bc6bda6d062...
2026-05-19 07:37:28 [DEBUG] src.arena_client: Running: studio-arena my-answer 4f440cf2-987f-4640-b12d-a1f1d9e63364...
2026-05-19 07:37:28 [DEBUG] src.arena_client: Running: studio-arena my-answer d2e6cdd6-e8a3-4a60-813a-0fd55b3da4c3...
2026-05-19 07:37:29 [DEBUG] src.arena_client: Running: studio-arena my-answer 4821ce37-4cac-4654-98ad-f97762ae0965...
2026-05-19 07:37:30 [DEBUG] src.arena_client: Running: studio-arena my-answer bbe0d325-48ae-4c4f-b0e5-78bfee9ca058...
2026-05-19 07:37:30 [DEBUG] src.arena_client: Running: studio-arena my-answer f4369450-e4d5-4c80-85ff-188b1b0f49a5...
2026-05-19 07:37:31 [DEBUG] src.arena_client: Running: studio-arena my-answer 7f60eb2c-2545-45b1-bd39-c9b25a3e0982...
2026-05-19 07:37:33 [DEBUG] src.arena_client: Running: studio-arena task show d822843b-44ff-461d-a58c-ec8eda16558f...
2026-05-19 07:37:33 [DEBUG] src.arena_client: Running: studio-arena task show 305ed85e-3e38-4ebe-bfd3-a7267b4896d9...
2026-05-19 07:37:35 [ERROR] src.task_worker: [Task 305ed85e] Resume failed: KeyError: '\n  "decomposition_mode"'
2026-05-19 07:37:35 [WARNING] task.305ed85e: [Exception] KeyError: '\n  "decomposition_mode"' action=abort
2026-05-19 07:37:35 [INFO] task.305ed85e: [Done] status=failed total_tokens=0 score=None
2026-05-19 07:37:35 [ERROR] src.task_worker: [Task d822843b] Resume failed: KeyError: '\n  "decomposition_mode"'
2026-05-19 07:37:35 [WARNING] task.d822843b: [Exception] KeyError: '\n  "decomposition_mode"' action=abort
2026-05-19 07:37:35 [INFO] task.d822843b: [Done] status=failed total_tokens=0 score=None
2026-05-19 07:43:46 [DEBUG] src.arena_client: Running: studio-arena tasks...
2026-05-19 07:43:48 [DEBUG] src.arena_client: Running: studio-arena my-answer 590f3f62-53a6-41eb-8853-264aea476bd7...
2026-05-19 07:43:50 [DEBUG] src.arena_client: Running: studio-arena my-answer a4352428-c3e8-4c70-9008-af7fe1c47edc...
2026-05-19 07:43:51 [DEBUG] src.arena_client: Running: studio-arena my-answer 2eec1184-a391-4638-b6bc-345b69d1e30f...
2026-05-19 07:43:52 [DEBUG] src.arena_client: Running: studio-arena my-answer ad6989a1-ee84-4a57-926a-58a7e25f3871...
2026-05-19 07:43:54 [DEBUG] src.arena_client: Running: studio-arena my-answer 6b379ab4-14ab-4f4e-b8e7-2840d4810177...
2026-05-19 07:43:55 [DEBUG] src.arena_client: Running: studio-arena my-answer 73b4f33a-0e10-48a0-a141-273d1d937cef...
2026-05-19 07:43:56 [DEBUG] src.arena_client: Running: studio-arena my-answer efbb6f50-3c7d-41c0-9183-66b5e33be984...
2026-05-19 07:43:57 [DEBUG] src.arena_client: Running: studio-arena my-answer 01ec4bed-3c1f-4e21-aa17-29d20ded8ef6...
2026-05-19 07:43:58 [DEBUG] src.arena_client: Running: studio-arena my-answer f2b798ac-1a6c-419d-8cd4-9541f247ee4f...
2026-05-19 07:43:58 [DEBUG] src.arena_client: Running: studio-arena my-answer f2890898-d0d4-405f-a28d-cd4cafa24eaa...
2026-05-19 07:43:59 [DEBUG] src.arena_client: Running: studio-arena my-answer a1c59f37-fe51-414d-a445-9c7dd3c6d584...
2026-05-19 07:44:00 [DEBUG] src.arena_client: Running: studio-arena my-answer 5f4dad12-7977-455f-beda-e26f4433c7f6...
2026-05-19 07:44:01 [DEBUG] src.arena_client: Running: studio-arena my-answer dd181bb5-72a7-41dd-9b8a-3b817da20650...
2026-05-19 07:44:02 [DEBUG] src.arena_client: Running: studio-arena my-answer 2af49f33-1d32-44d0-8726-8f86291c0d28...
2026-05-19 07:44:03 [DEBUG] src.arena_client: Running: studio-arena my-answer b0c9a8a3-7989-48ab-a34c-f52ccc632c5d...
2026-05-19 07:44:04 [DEBUG] src.arena_client: Running: studio-arena my-answer 4a68f177-8b45-4789-abf1-3e96ca907405...
2026-05-19 07:44:05 [DEBUG] src.arena_client: Running: studio-arena my-answer 8a753005-2a24-4a38-80a7-809e7ef59cf1...
2026-05-19 07:44:06 [DEBUG] src.arena_client: Running: studio-arena my-answer 693271e9-e0ed-498b-9363-84095d0c0349...
